city,number_of_bedrooms,number_of_bathrooms,furnished,power_supply_hours,security_level,estate_type,proximity_to_road,parking_space,monthly_rent
Lagos,3,2,Yes,20,Medium,Non-Estate,Near,No,995000
Lagos,2,1,Yes,12,Low,Estate,Near,No,690000
Abuja,3,2,No,16,Medium,Non-Estate,Near,Yes,760000
Port Harcourt,3,2,No,12,Low,Non-Estate,Near,Yes,495000
Lagos,2,1,No,16,Low,Estate,Near,Yes,665000
Ibadan,1,1,No,8,Low,Non-Estate,Near,Yes,180000
Abuja,3,2,No,12,Medium,Non-Estate,Far,Yes,705000
Abuja,3,2,No,4,Medium,Non-Estate,Near,Yes,540000
Abuja,3,3,No,16,Low,Non-Estate,Far,Yes,745000
Abuja,2,1,Yes,16,Medium,Non-Estate,Far,Yes,665000
Port Harcourt,3,3,No,0,Low,Non-Estate,Far,No,315000
Lagos,1,1,No,16,High,Non-Estate,Far,Yes,420000
Lagos,2,1,No,12,Medium,Estate,Near,No,555000
Benin,2,1,Yes,4,Medium,Non-Estate,Far,No,165000
Benin,2,1,No,12,High,Estate,Far,No,275000
Abuja,2,2,No,4,Medium,Non-Estate,Near,No,480000
Lagos,2,1,Yes,12,Medium,Non-Estate,Far,No,560000
Port Harcourt,1,1,No,8,Medium,Non-Estate,Near,No,285000
Abuja,2,2,No,16,High,Estate,Near,Yes,910000
Lagos,3,2,No,16,Low,Non-Estate,Near,No,760000
Lagos,2,1,No,12,High,Estate,Far,No,535000
Ibadan,2,1,No,0,High,Non-Estate,Far,Yes,175000
Port Harcourt,4,3,No,20,Medium,Non-Estate,Far,No,745000
Lagos,1,1,Yes,16,Medium,Non-Estate,Far,Yes,460000
Lagos,3,2,Yes,0,Medium,Estate,Near,Yes,625000
Lagos,1,1,No,16,Low,Non-Estate,Near,Yes,400000
Port Harcourt,1,1,No,8,Low,Non-Estate,Far,No,185000
Lagos,3,2,No,12,High,Non-Estate,Near,No,780000
Lagos,3,3,No,12,Medium,Non-Estate,Near,No,680000
Ibadan,4,2,Yes,12,Medium,Estate,Near,No,610000
Lagos,3,3,No,20,High,Non-Estate,Near,Yes,985000
Port Harcourt,5,3,Yes,12,Medium,Non-Estate,Far,No,1040000
Lagos,1,1,No,4,Low,Non-Estate,Near,Yes,260000
Lagos,1,1,No,20,Medium,Non-Estate,Far,No,435000
Lagos,1,1,No,20,Medium,Estate,Far,Yes,400000
Ibadan,2,1,Yes,16,Low,Non-Estate,Near,Yes,350000
Benin,3,2,Yes,12,High,Estate,Near,No,450000
Ibadan,3,3,No,4,Low,Non-Estate,Near,No,295000
Abuja,1,1,No,16,Medium,Non-Estate,Far,Yes,455000
Port Harcourt,4,3,No,4,Low,Non-Estate,Near,No,555000
Lagos,4,4,Yes,4,Medium,Non-Estate,Near,Yes,820000
Lagos,2,2,No,12,Medium,Estate,Far,Yes,620000
Benin,1,1,No,4,Medium,Estate,Near,No,125000
Lagos,2,1,Yes,0,High,Estate,Far,Yes,450000
Lagos,1,1,No,12,Low,Estate,Far,No,320000
Lagos,1,1,Yes,4,High,Non-Estate,Near,Yes,410000
Lagos,3,2,No,4,Medium,Estate,Far,Yes,620000
Lagos,2,1,No,4,High,Non-Estate,Near,Yes,415000
Port Harcourt,2,2,No,8,Medium,Non-Estate,Far,Yes,315000
Abuja,5,3,No,16,Low,Non-Estate,Far,Yes,1195000
Benin,3,3,No,16,Low,Non-Estate,Near,No,355000
Ibadan,4,2,Yes,12,High,Estate,Near,No,680000
Abuja,1,1,No,12,High,Estate,Far,No,505000
Lagos,2,1,No,0,Medium,Estate,Near,No,385000
Abuja,3,2,No,4,Medium,Non-Estate,Far,Yes,620000
Port Harcourt,1,1,Yes,8,Medium,Non-Estate,Near,Yes,370000
Lagos,1,1,No,12,High,Estate,Near,Yes,480000
Port Harcourt,3,2,Yes,16,High,Non-Estate,Far,Yes,770000
Abuja,3,2,Yes,12,High,Estate,Near,No,1340000
Port Harcourt,2,1,No,8,High,Non-Estate,Far,Yes,430000
Abuja,2,1,Yes,4,High,Non-Estate,Near,Yes,575000
Lagos,2,1,No,16,Low,Non-Estate,Near,Yes,530000
Benin,1,1,No,8,High,Non-Estate,Far,Yes,160000
Ibadan,2,1,No,16,Medium,Non-Estate,Near,Yes,285000
Lagos,2,1,No,12,High,Non-Estate,Far,No,485000
Benin,1,1,No,16,Medium,Estate,Far,Yes,190000
Abuja,5,4,Yes,20,Low,Non-Estate,Far,No,1475000
Benin,3,2,No,20,Medium,Non-Estate,Far,Yes,310000
Ibadan,3,2,No,12,Medium,Estate,Near,No,440000
Abuja,2,2,No,12,Low,Non-Estate,Far,No,530000
Lagos,2,1,No,8,Medium,Estate,Near,No,545000
Lagos,2,2,Yes,20,Medium,Estate,Near,Yes,1000000
Abuja,1,1,No,12,Medium,Non-Estate,Near,Yes,430000
Port Harcourt,2,2,Yes,4,Medium,Non-Estate,Near,No,445000
Lagos,3,2,No,12,Low,Estate,Far,Yes,645000
Lagos,3,3,Yes,4,High,Non-Estate,Near,Yes,860000
Ibadan,3,3,No,12,High,Non-Estate,Near,Yes,435000
Ilorin,2,1,No,12,Low,Estate,Near,No,185000
Abuja,4,3,No,8,High,Non-Estate,Near,Yes,930000
Lagos,1,1,No,4,Medium,Non-Estate,Far,No,235000
Lagos,2,1,No,20,Low,Estate,Near,No,580000
Lagos,2,1,No,16,Medium,Non-Estate,Near,Yes,560000
Benin,3,2,No,16,Medium,Estate,Near,Yes,420000
Lagos,5,3,No,8,Medium,Non-Estate,Near,Yes,1055000
Port Harcourt,2,1,No,16,High,Non-Estate,Near,Yes,455000
Lagos,4,3,Yes,12,Medium,Estate,Near,Yes,1190000
Port Harcourt,4,3,No,8,Low,Non-Estate,Near,Yes,520000
Port Harcourt,2,2,Yes,4,High,Non-Estate,Near,No,450000
Ibadan,2,1,No,8,Low,Estate,Near,No,265000
Lagos,2,1,No,4,Medium,Non-Estate,Far,Yes,410000
Lagos,5,3,No,24,Low,Estate,Near,No,1290000
Lagos,2,1,No,0,Medium,Non-Estate,Far,No,285000
Benin,3,3,No,12,Medium,Non-Estate,Far,Yes,265000
Benin,2,2,Yes,12,Low,Non-Estate,Near,Yes,260000
Port Harcourt,3,2,No,8,Medium,Non-Estate,Far,No,470000
Port Harcourt,2,2,Yes,12,Low,Non-Estate,Far,No,465000
Port Harcourt,3,2,No,4,Medium,Non-Estate,Far,No,415000
Lagos,4,3,Yes,16,Medium,Non-Estate,Near,Yes,1240000
Benin,4,2,No,8,Low,Non-Estate,Near,No,265000
Abuja,4,4,No,12,High,Non-Estate,Near,No,1070000
Abuja,1,1,Yes,16,Low,Estate,Near,Yes,530000
Abuja,3,3,No,20,Low,Non-Estate,Far,No,905000
Lagos,1,1,Yes,16,Medium,Non-Estate,Far,Yes,505000
Lagos,2,1,No,12,Medium,Non-Estate,Near,Yes,535000
Ibadan,3,2,No,8,Medium,Non-Estate,Far,Yes,255000
Lagos,2,2,Yes,12,Low,Estate,Far,No,690000
Port Harcourt,3,2,Yes,16,High,Non-Estate,Near,No,700000
Lagos,5,3,No,20,Medium,Estate,Near,No,1200000
Abuja,1,1,Yes,4,Low,Non-Estate,Near,No,365000
Lagos,3,2,No,8,Medium,Non-Estate,Far,Yes,560000
Abuja,2,1,Yes,16,High,Non-Estate,Far,No,860000
Ibadan,1,1,Yes,12,Medium,Non-Estate,Near,No,230000
Lagos,2,1,No,8,Low,Non-Estate,Near,No,360000
Port Harcourt,4,3,Yes,12,Medium,Non-Estate,Far,Yes,745000
Abuja,4,4,No,12,Low,Non-Estate,Far,No,840000
Port Harcourt,4,4,Yes,24,Medium,Estate,Near,Yes,1240000
Benin,5,4,Yes,12,High,Non-Estate,Near,No,600000
Ibadan,2,1,No,8,Medium,Non-Estate,Far,No,215000
Lagos,2,2,No,4,Medium,Non-Estate,Near,No,375000
Lagos,3,2,No,0,High,Non-Estate,Near,Yes,595000
Lagos,2,1,Yes,12,Medium,Non-Estate,Far,Yes,570000
Port Harcourt,2,2,No,12,Medium,Estate,Near,Yes,465000
Lagos,2,2,No,8,Medium,Estate,Far,No,475000
Abuja,3,3,Yes,16,Medium,Non-Estate,Near,No,1150000
Port Harcourt,3,3,No,16,Medium,Estate,Near,No,700000
Abuja,2,1,No,8,Medium,Estate,Near,Yes,500000
Ibadan,2,1,No,8,High,Non-Estate,Near,Yes,295000
Lagos,3,3,No,24,High,Non-Estate,Near,Yes,935000
Lagos,3,2,No,8,Medium,Non-Estate,Far,Yes,640000
Ibadan,2,1,Yes,16,Medium,Estate,Near,No,330000
Abuja,3,3,No,12,Medium,Non-Estate,Far,No,790000
Port Harcourt,1,1,Yes,16,Low,Non-Estate,Near,No,365000
Abuja,2,1,No,16,Medium,Estate,Near,Yes,715000
Lagos,3,3,No,16,High,Non-Estate,Near,Yes,795000
Ibadan,3,3,No,20,Medium,Non-Estate,Far,Yes,380000
Ibadan,2,1,No,20,High,Non-Estate,Near,No,360000
Port Harcourt,3,2,Yes,12,Low,Estate,Near,No,790000
Lagos,3,2,No,8,Medium,Non-Estate,Far,Yes,570000
Port Harcourt,3,2,No,8,Medium,Estate,Near,Yes,535000
Abuja,3,2,No,16,Medium,Estate,Near,No,810000
Lagos,3,2,No,16,High,Non-Estate,Near,No,855000
Benin,2,1,Yes,4,High,Non-Estate,Far,Yes,210000
Lagos,1,1,No,4,Low,Non-Estate,Near,No,225000
Ilorin,2,2,Yes,16,Low,Non-Estate,Far,Yes,230000
Abuja,2,1,No,8,Low,Estate,Far,No,490000
Lagos,3,3,Yes,12,Medium,Non-Estate,Far,Yes,715000
Abuja,3,3,No,16,Medium,Estate,Near,Yes,925000
Benin,2,1,No,12,Medium,Non-Estate,Far,Yes,210000
Ibadan,1,1,Yes,4,Medium,Non-Estate,Near,Yes,160000
Ibadan,2,1,No,4,Medium,Non-Estate,Near,Yes,225000
Port Harcourt,2,1,No,8,High,Non-Estate,Near,No,365000
Port Harcourt,3,3,No,8,Medium,Non-Estate,Far,Yes,425000
Ibadan,1,1,Yes,12,Medium,Non-Estate,Near,No,240000
Lagos,3,3,Yes,12,Low,Non-Estate,Near,Yes,870000
Abuja,4,2,Yes,8,Medium,Non-Estate,Far,Yes,920000
Lagos,2,2,Yes,4,Medium,Non-Estate,Near,No,490000
Ilorin,2,1,No,4,Medium,Non-Estate,Near,No,110000
Benin,1,1,No,24,High,Non-Estate,Far,Yes,225000
Lagos,3,2,No,12,High,Estate,Far,Yes,790000
Ibadan,3,3,No,20,High,Estate,Near,No,595000
Benin,2,2,No,16,Medium,Non-Estate,Near,Yes,260000
Lagos,3,2,No,12,Medium,Non-Estate,Far,No,625000
Port Harcourt,4,3,Yes,16,Medium,Non-Estate,Near,Yes,1050000
Benin,2,1,No,4,Low,Non-Estate,Near,Yes,170000
Lagos,1,1,No,16,Medium,Estate,Far,Yes,410000
Port Harcourt,4,3,No,8,Low,Non-Estate,Near,No,555000
Lagos,3,3,Yes,16,Medium,Non-Estate,Near,Yes,880000
Benin,4,4,Yes,4,Medium,Non-Estate,Near,Yes,435000
Ilorin,3,2,Yes,16,High,Non-Estate,Near,No,375000
Benin,4,2,No,4,Medium,Estate,Far,No,265000
Abuja,2,1,No,20,High,Estate,Near,Yes,990000
Benin,3,3,Yes,8,Low,Non-Estate,Near,No,325000
Ibadan,4,2,No,16,Low,Non-Estate,Far,No,390000
Abuja,3,2,No,12,Medium,Non-Estate,Near,Yes,660000
Ibadan,2,2,No,8,Medium,Non-Estate,Far,Yes,220000
Lagos,2,1,No,12,Low,Estate,Near,No,540000
Port Harcourt,2,1,Yes,20,Low,Non-Estate,Far,Yes,460000
Lagos,2,1,No,0,Medium,Non-Estate,Near,Yes,340000
Lagos,2,1,Yes,20,Medium,Non-Estate,Near,No,810000
Lagos,3,3,No,12,Medium,Non-Estate,Near,Yes,770000
Port Harcourt,3,2,No,16,Medium,Non-Estate,Far,No,535000
Abuja,2,1,No,8,Low,Non-Estate,Far,Yes,455000
Ibadan,3,3,No,12,High,Estate,Far,Yes,390000
Lagos,1,1,No,20,Medium,Estate,Near,Yes,565000
Abuja,1,1,No,12,Medium,Non-Estate,Near,Yes,465000
Abuja,2,2,No,12,High,Non-Estate,Far,No,645000
Ibadan,3,2,Yes,0,High,Non-Estate,Far,No,270000
Abuja,2,1,No,4,Medium,Non-Estate,Far,Yes,380000
Port Harcourt,2,2,No,12,Medium,Non-Estate,Near,No,365000
Benin,2,1,No,16,Medium,Non-Estate,Near,Yes,235000
Port Harcourt,4,2,No,12,Medium,Estate,Near,Yes,690000
Lagos,1,1,No,4,Medium,Estate,Near,Yes,350000
Lagos,3,2,No,12,Medium,Estate,Far,Yes,730000
Benin,3,3,No,8,High,Non-Estate,Far,No,240000
Lagos,3,2,No,12,Low,Estate,Near,Yes,795000
Benin,4,2,Yes,20,High,Non-Estate,Near,Yes,545000
Abuja,1,1,No,16,High,Estate,Near,Yes,655000
Benin,2,2,No,4,Medium,Non-Estate,Far,No,155000
Ibadan,4,3,No,20,Medium,Non-Estate,Far,No,455000
Ilorin,2,2,No,12,Medium,Non-Estate,Near,No,150000
Abuja,3,2,No,16,High,Estate,Far,Yes,1185000
Ibadan,3,2,No,4,Low,Estate,Near,No,300000
Abuja,3,2,No,16,Medium,Non-Estate,Near,Yes,830000
Abuja,4,3,Yes,8,Medium,Non-Estate,Far,Yes,920000
Port Harcourt,5,4,No,12,High,Non-Estate,Far,No,940000
Benin,3,3,No,0,High,Non-Estate,Far,Yes,215000
Ilorin,2,1,Yes,4,Medium,Estate,Near,Yes,225000
Ibadan,4,4,No,4,Low,Estate,Near,Yes,480000
Abuja,1,1,No,8,Medium,Non-Estate,Near,Yes,395000
Abuja,2,2,No,4,Low,Non-Estate,Near,Yes,530000
Ibadan,4,2,Yes,16,High,Estate,Near,Yes,675000
Lagos,2,1,Yes,0,Medium,Non-Estate,Near,Yes,405000
Lagos,2,1,No,12,High,Non-Estate,Near,No,500000
Abuja,1,1,Yes,4,Medium,Non-Estate,Near,No,340000
Lagos,4,3,No,20,Medium,Estate,Far,No,1220000
Lagos,3,2,Yes,20,Low,Estate,Far,No,850000
Lagos,3,2,No,8,Medium,Non-Estate,Far,No,595000
Lagos,2,2,Yes,12,Low,Estate,Near,Yes,785000
Lagos,3,3,Yes,0,Medium,Estate,Near,Yes,700000
Ilorin,3,3,No,20,Low,Non-Estate,Near,No,230000
Abuja,2,1,Yes,12,Medium,Estate,Near,Yes,695000
Abuja,2,1,No,0,Medium,Non-Estate,Near,Yes,360000
Port Harcourt,2,1,No,8,Medium,Non-Estate,Near,Yes,355000
Lagos,5,3,No,4,Low,Non-Estate,Far,No,685000
Benin,3,2,No,8,Medium,Estate,Far,No,270000
Ibadan,4,3,Yes,16,Medium,Non-Estate,Near,Yes,670000
Lagos,2,1,Yes,12,Medium,Non-Estate,Far,Yes,550000
Abuja,3,2,No,8,Low,Non-Estate,Near,No,565000
Benin,3,2,No,4,High,Estate,Far,Yes,310000
Benin,3,3,No,8,High,Estate,Far,Yes,325000
Abuja,5,4,No,4,Low,Non-Estate,Far,Yes,830000
Port Harcourt,2,2,No,16,Medium,Non-Estate,Near,No,480000
Lagos,1,1,Yes,4,Medium,Non-Estate,Near,Yes,405000
Ilorin,3,2,No,12,Medium,Non-Estate,Near,Yes,260000
Lagos,3,3,No,8,Low,Non-Estate,Near,Yes,555000
Benin,3,3,No,8,Low,Non-Estate,Far,No,235000
Port Harcourt,2,1,No,12,Low,Non-Estate,Far,No,290000
Port Harcourt,3,2,Yes,12,Medium,Non-Estate,Far,Yes,715000
Abuja,2,2,Yes,12,High,Estate,Near,No,870000
Lagos,2,1,No,12,Medium,Non-Estate,Far,Yes,415000
Lagos,3,3,No,12,High,Non-Estate,Near,Yes,925000
Lagos,3,2,No,8,Low,Non-Estate,Near,No,630000
Lagos,2,1,Yes,12,Low,Non-Estate,Far,Yes,580000
Ibadan,2,1,Yes,16,Medium,Non-Estate,Near,Yes,310000
Abuja,2,1,No,0,Medium,Estate,Near,Yes,455000
Lagos,2,2,No,12,Medium,Estate,Near,No,640000
Ilorin,3,3,No,4,Medium,Non-Estate,Far,No,180000
Benin,4,3,No,4,Low,Estate,Far,No,260000
Benin,2,1,No,12,Medium,Non-Estate,Near,No,180000
Ilorin,3,3,No,20,Medium,Estate,Far,No,335000
Lagos,4,3,No,20,Medium,Estate,Far,Yes,1130000
Abuja,4,2,No,4,High,Estate,Far,No,925000
Ibadan,2,1,Yes,12,Low,Non-Estate,Near,No,280000
Port Harcourt,5,4,Yes,12,High,Non-Estate,Far,Yes,1175000
Lagos,2,2,No,4,Medium,Estate,Far,Yes,520000
Ibadan,2,1,No,16,High,Estate,Near,Yes,350000
Lagos,1,1,Yes,16,Low,Non-Estate,Near,No,475000
Lagos,2,2,Yes,20,Medium,Non-Estate,Near,Yes,720000
Abuja,1,1,No,0,Medium,Non-Estate,Near,Yes,255000
Port Harcourt,2,1,Yes,8,High,Non-Estate,Near,Yes,555000
Port Harcourt,2,1,No,16,Medium,Non-Estate,Near,Yes,480000
Lagos,4,3,Yes,16,Medium,Non-Estate,Near,No,1210000
Benin,4,2,Yes,20,High,Estate,Near,Yes,625000
Lagos,2,1,No,4,Medium,Non-Estate,Near,Yes,365000
Lagos,4,3,Yes,12,Low,Non-Estate,Far,No,1035000
Benin,4,2,No,12,Medium,Non-Estate,Far,No,290000
Ilorin,3,3,Yes,0,Medium,Estate,Near,Yes,275000
Benin,1,1,Yes,12,Medium,Non-Estate,Near,Yes,180000
Ibadan,3,3,Yes,12,Medium,Non-Estate,Near,No,500000
Port Harcourt,4,2,Yes,4,High,Non-Estate,Near,Yes,845000
Port Harcourt,3,2,Yes,8,Medium,Estate,Near,No,575000
Lagos,2,1,No,12,Low,Estate,Far,Yes,545000
Abuja,3,3,No,12,Low,Non-Estate,Near,Yes,710000
Abuja,3,3,Yes,20,High,Non-Estate,Far,Yes,1200000
Lagos,3,2,No,8,Medium,Estate,Far,Yes,640000
Ibadan,1,1,No,8,High,Non-Estate,Near,No,185000
Abuja,2,1,No,24,Medium,Estate,Near,No,765000
Lagos,4,4,No,20,Medium,Non-Estate,Near,No,1095000
Lagos,4,3,No,0,Medium,Estate,Near,No,605000
Port Harcourt,1,1,Yes,16,Medium,Estate,Near,No,370000
Lagos,5,3,No,4,Medium,Estate,Far,No,855000
Benin,2,1,No,0,Medium,Estate,Far,No,150000
Abuja,3,3,No,8,Medium,Estate,Far,Yes,835000
Abuja,3,2,No,8,High,Non-Estate,Near,Yes,830000
Port Harcourt,4,2,No,16,High,Non-Estate,Near,No,880000
Ibadan,4,2,No,16,High,Non-Estate,Near,No,500000
Abuja,2,2,No,24,High,Estate,Near,No,845000
Port Harcourt,4,3,No,16,Medium,Estate,Near,No,880000
Port Harcourt,1,1,No,12,Medium,Non-Estate,Far,Yes,280000
Lagos,3,3,Yes,16,High,Non-Estate,Near,No,1090000
Benin,3,2,Yes,24,Medium,Estate,Far,No,505000
Ibadan,3,2,No,16,Low,Estate,Far,Yes,370000
Port Harcourt,2,2,No,16,Medium,Non-Estate,Near,No,400000
Benin,4,3,Yes,20,Low,Non-Estate,Far,Yes,525000
Benin,2,1,No,4,Medium,Non-Estate,Near,No,150000
Ibadan,1,1,No,16,Medium,Non-Estate,Near,No,190000
Ibadan,3,3,No,20,Medium,Non-Estate,Far,Yes,410000
Port Harcourt,2,1,Yes,24,High,Non-Estate,Near,Yes,730000
Port Harcourt,4,4,Yes,8,High,Estate,Far,Yes,1055000
Port Harcourt,2,2,No,12,High,Non-Estate,Far,Yes,385000
Ibadan,2,1,No,16,Medium,Estate,Far,Yes,340000
Lagos,4,3,No,8,High,Non-Estate,Far,Yes,890000
Benin,3,2,No,12,High,Non-Estate,Near,No,310000
Benin,2,1,No,8,Medium,Non-Estate,Near,Yes,175000
Lagos,3,3,Yes,8,High,Non-Estate,Near,Yes,815000
Ibadan,3,3,No,12,Low,Estate,Near,No,410000
Lagos,3,2,No,12,High,Estate,Near,No,800000
Abuja,2,1,No,12,Medium,Non-Estate,Far,No,460000
Ibadan,4,3,No,12,Medium,Non-Estate,Near,No,415000
Lagos,4,3,No,8,Low,Estate,Far,Yes,825000
Ibadan,3,2,No,4,Medium,Non-Estate,Far,Yes,270000
Ibadan,1,1,No,0,Medium,Estate,Near,Yes,155000
Abuja,4,3,No,4,High,Non-Estate,Near,No,970000
Lagos,3,2,No,12,High,Estate,Near,Yes,815000
Lagos,3,2,Yes,16,High,Non-Estate,Near,No,1055000
Port Harcourt,2,2,Yes,4,Medium,Estate,Near,Yes,430000
Ilorin,4,4,Yes,4,High,Non-Estate,Near,Yes,370000
Port Harcourt,3,2,Yes,16,Medium,Estate,Far,No,775000
Lagos,1,1,No,8,High,Estate,Near,No,370000
Port Harcourt,2,1,Yes,24,Low,Non-Estate,Far,Yes,550000
Abuja,4,2,Yes,16,Medium,Non-Estate,Far,Yes,1315000
Ibadan,1,1,Yes,8,High,Estate,Near,Yes,245000
Lagos,5,4,No,8,High,Estate,Near,Yes,1275000
Ibadan,3,2,No,12,Medium,Non-Estate,Far,No,345000
Abuja,3,2,Yes,4,High,Estate,Far,Yes,940000
Ilorin,2,1,Yes,4,Low,Non-Estate,Near,Yes,175000
Abuja,2,1,Yes,4,Medium,Non-Estate,Near,No,590000
Port Harcourt,4,2,No,16,Medium,Estate,Near,Yes,760000
Benin,2,2,Yes,12,Low,Non-Estate,Near,Yes,250000
Lagos,3,2,No,0,Low,Non-Estate,Near,Yes,485000
Benin,2,1,No,16,Low,Estate,Near,Yes,275000
Port Harcourt,1,1,Yes,12,Medium,Non-Estate,Far,Yes,290000
Lagos,1,1,No,12,Low,Non-Estate,Near,No,310000
Abuja,3,2,Yes,8,Medium,Non-Estate,Near,No,805000
Ibadan,5,3,No,12,Medium,Non-Estate,Near,Yes,585000
Lagos,2,2,Yes,24,Medium,Estate,Far,No,855000
Port Harcourt,2,1,No,4,Medium,Estate,Near,Yes,410000
Abuja,2,1,No,8,Medium,Estate,Far,Yes,625000
Port Harcourt,3,2,No,8,Medium,Estate,Near,No,580000
Lagos,2,1,Yes,8,Medium,Estate,Near,Yes,670000
Benin,4,3,Yes,8,Medium,Non-Estate,Near,Yes,410000
Ilorin,3,3,No,16,High,Estate,Far,No,275000
Ilorin,3,2,No,20,Medium,Estate,Near,Yes,325000
Ibadan,1,1,No,8,Medium,Non-Estate,Far,Yes,150000
Lagos,5,3,Yes,12,Medium,Estate,Far,No,1250000
Ibadan,2,1,Yes,12,Medium,Estate,Far,No,340000
Lagos,1,1,No,12,High,Estate,Near,No,445000
Lagos,3,3,Yes,12,Medium,Estate,Far,Yes,1035000
Abuja,3,2,Yes,4,Medium,Non-Estate,Near,Yes,750000
Abuja,2,1,Yes,12,Low,Non-Estate,Near,Yes,605000
Ibadan,2,1,No,12,Medium,Estate,Near,Yes,290000
Port Harcourt,3,2,No,16,Medium,Estate,Far,Yes,720000
Abuja,2,1,No,16,High,Estate,Near,No,850000
Lagos,4,3,No,4,High,Non-Estate,Near,Yes,730000
Ilorin,3,2,No,4,Medium,Non-Estate,Near,Yes,180000
Abuja,2,1,No,20,High,Non-Estate,Near,Yes,875000
Abuja,2,2,Yes,12,Medium,Estate,Near,No,740000
Lagos,2,1,No,20,High,Estate,Near,No,690000
Ibadan,3,2,No,4,High,Non-Estate,Near,No,280000
Port Harcourt,3,2,Yes,12,Low,Non-Estate,Near,Yes,660000
Lagos,2,1,No,12,Medium,Non-Estate,Far,Yes,445000
Lagos,3,2,Yes,20,Medium,Estate,Near,Yes,1020000
Port Harcourt,5,3,No,4,Low,Non-Estate,Near,No,625000
Port Harcourt,2,1,Yes,8,Medium,Non-Estate,Near,Yes,390000
Lagos,4,3,Yes,12,High,Non-Estate,Far,Yes,1200000
Ilorin,2,2,Yes,20,High,Estate,Near,Yes,360000
Lagos,1,1,No,20,High,Non-Estate,Near,Yes,495000
Abuja,2,1,No,24,High,Estate,Near,Yes,840000
Benin,2,2,No,24,High,Non-Estate,Far,Yes,325000
Abuja,2,1,No,0,Low,Estate,Near,Yes,425000
Port Harcourt,1,1,No,0,Medium,Non-Estate,Near,Yes,195000
Abuja,4,3,Yes,4,Low,Non-Estate,Near,Yes,985000
Lagos,4,2,No,8,Low,Estate,Near,No,795000
Ilorin,3,2,Yes,16,Low,Non-Estate,Near,Yes,260000
Abuja,2,1,Yes,20,Medium,Estate,Far,No,765000
Benin,1,1,No,4,High,Non-Estate,Near,Yes,130000
Lagos,1,1,Yes,12,High,Estate,Far,Yes,575000
Lagos,3,3,Yes,20,Medium,Estate,Near,No,1215000
Lagos,4,3,No,12,High,Non-Estate,Near,No,1030000
Port Harcourt,2,1,No,4,Medium,Estate,Near,No,370000
Abuja,1,1,No,12,High,Non-Estate,Near,Yes,520000
Benin,3,3,No,8,Medium,Non-Estate,Far,Yes,250000
Abuja,2,2,No,12,Medium,Non-Estate,Near,Yes,580000
Ilorin,2,1,No,12,High,Non-Estate,Far,Yes,195000
Lagos,3,2,Yes,0,Medium,Estate,Far,Yes,580000
Benin,3,3,Yes,24,Medium,Non-Estate,Near,Yes,500000
Ibadan,1,1,No,12,Medium,Estate,Far,Yes,180000
Ibadan,1,1,Yes,12,Medium,Non-Estate,Near,No,250000
Ibadan,5,3,No,24,High,Non-Estate,Near,No,730000
Ibadan,2,1,No,4,Low,Non-Estate,Far,Yes,165000
Port Harcourt,1,1,Yes,4,High,Estate,Near,No,380000
Lagos,2,1,Yes,16,Low,Non-Estate,Near,No,570000
Lagos,1,1,Yes,8,Medium,Non-Estate,Far,Yes,425000
Benin,2,2,Yes,16,Low,Non-Estate,Far,Yes,265000
Port Harcourt,4,3,Yes,8,High,Estate,Near,No,1040000
Ibadan,2,2,No,0,Low,Non-Estate,Far,Yes,160000
Abuja,2,2,No,12,Medium,Estate,Near,No,725000
Lagos,3,2,No,4,Medium,Non-Estate,Far,Yes,560000
Lagos,3,3,Yes,16,Low,Non-Estate,Near,Yes,1030000
Port Harcourt,4,3,No,12,High,Estate,Far,No,900000
Abuja,4,4,No,20,Low,Estate,Near,No,1180000
Lagos,1,1,No,16,Low,Non-Estate,Far,Yes,395000
Abuja,3,3,No,4,Medium,Estate,Far,No,695000
Lagos,2,1,No,16,Medium,Estate,Near,Yes,695000
Port Harcourt,5,4,No,12,Medium,Non-Estate,Near,No,885000
Lagos,2,1,No,16,Low,Non-Estate,Far,No,415000
Ibadan,5,3,Yes,16,Low,Non-Estate,Far,Yes,665000
Abuja,3,3,No,12,Medium,Estate,Near,Yes,835000
Abuja,2,1,Yes,12,Medium,Estate,Near,Yes,860000
Lagos,3,3,No,12,High,Non-Estate,Far,Yes,745000
Lagos,5,3,No,8,High,Non-Estate,Near,Yes,950000
Abuja,4,3,Yes,4,Medium,Non-Estate,Near,No,1095000
Abuja,1,1,Yes,12,Medium,Non-Estate,Far,Yes,535000
Port Harcourt,3,3,Yes,8,Medium,Non-Estate,Near,Yes,730000
Lagos,2,1,Yes,4,High,Estate,Near,No,675000
Port Harcourt,1,1,Yes,0,Medium,Non-Estate,Near,Yes,265000
Benin,2,1,Yes,12,High,Non-Estate,Far,Yes,295000
Ibadan,2,1,Yes,8,Medium,Non-Estate,Near,Yes,255000
Lagos,4,3,Yes,16,Medium,Non-Estate,Far,No,1195000
Abuja,2,1,No,8,Medium,Non-Estate,Far,Yes,525000
Lagos,4,3,Yes,12,Medium,Non-Estate,Near,No,1125000
Lagos,1,1,Yes,12,Low,Estate,Far,Yes,515000
Ilorin,2,1,No,16,High,Non-Estate,Near,No,205000
Lagos,2,1,No,8,High,Non-Estate,Far,No,440000
Abuja,2,1,No,24,High,Non-Estate,Near,No,915000
Port Harcourt,1,1,Yes,20,Medium,Non-Estate,Far,Yes,395000
